32
64
500
3,m
49,m
20,r
48,r
27,m
46,m
26,r
20,r
36,m
7,r
8,m
51,m
16,r
31,r
0,m
7,r
18,m
30,m
28,r
34,m
9,r
18,m
44,m
59,m
11,r
9,m
10,r
16,r
36,r
55,r
46,m
57,r
38,r
10,r
25,m
46,r
60,r
19,r
10,m
2,m
58,m
29,m
22,r
39,r
45,r
55,r
53,m
0,m
49,m
55,m
16,r
35,r
28,r
14,m
35,r
60,r
54,m
9,m
52,r
5,r
27,r
60,r
32,m
53,m
1,m
45,m
49,r
9,r
52,r
28,m
47,m
7,m
33,m
27,r
58,r
15,m
13,r
16,m
21,m
50,r
34,m
35,m
20,r
8,m
51,r
17,r
1,r
58,r
23,m
60,m
52,m
27,r
17,r
26,m
28,r
11,r
13,r
4,m
36,m
50,m
9,m
4,r
47,m
16,m
31,m
50,r
59,m
0,m
9,r
0,r
42,r
34,r
5,m
45,m
17,r
7,r
54,r
47,r
3,m
15,m
32,r
61,r
51,r
52,m
10,m
26,r
30,r
31,m
57,r
30,m
29,m
52,m
42,r
50,r
59,r
39,r
23,m
44,r
36,m
28,r
50,m
57,m
37,r
41,r
42,m
11,r
18,r
24,m
24,m
42,m
55,m
3,m
15,m
23,m
59,m
9,m
34,m
25,r
59,m
43,m
26,m
57,m
58,r
10,m
17,m
7,m
20,m
47,r
2,r
59,r
43,r
8,r
21,m
45,m
1,m
42,m
0,r
0,r
14,m
10,m
8,r
0,r
13,r
45,r
14,m
36,r
57,m
49,r
41,m
46,r
59,m
37,r
36,r
16,m
37,m
53,m
19,r
6,r
8,r
22,r
41,r
11,m
60,r
19,r
57,r
36,m
58,m
17,m
30,r
18,r
27,r
5,r
30,r
38,r
4,m
11,m
17,r
50,r
20,m
40,r
44,m
6,m
34,r
37,r
50,m
24,m
57,m
50,r
16,r
14,m
4,r
46,r
50,m
31,m
2,m
57,r
56,m
23,m
25,m
35,m
23,r
2,m
6,m
29,r
22,m
6,m
38,m
59,r
19,r
51,r
25,r
0,m
31,r
2,m
16,m
57,m
20,m
12,r
31,m
8,m
58,m
22,m
17,r
15,r
20,r
44,m
34,r
22,r
35,m
15,m
15,m
50,m
14,r
26,r
49,m
32,m
46,r
43,m
22,r
35,m
53,r
46,m
20,m
53,r
25,m
51,m
41,r
9,m
61,r
15,r
43,m
24,r
21,r
46,m
13,r
20,m
27,r
37,r
53,r
27,m
18,r
4,m
18,m
30,m
25,m
40,r
18,r
17,m
60,m
30,m
58,r
4,m
8,m
34,r
47,r
16,r
36,r
28,r
57,r
41,r
20,r
0,r
32,m
59,r
44,r
14,r
25,r
28,m
34,r
40,m
56,r
2,r
38,m
18,m
43,m
35,m
47,m
54,r
49,m
1,r
21,m
9,r
27,m
34,r
32,r
37,m
3,r
38,m
37,r
15,r
23,r
58,r
4,m
29,m
58,r
50,r
30,r
30,r
32,r
17,m
13,r
17,m
17,m
25,r
19,m
1,r
15,m
57,r
50,m
16,r
60,m
6,m
0,m
8,m
15,m
56,m
27,r
41,m
21,r
31,r
59,r
51,m
18,r
18,r
35,m
7,r
61,m
18,r
45,r
6,r
6,m
48,m
54,r
21,r
36,m
48,r
34,m
9,m
46,r
24,r
36,r
22,r
52,m
5,m
52,m
33,m
27,r
21,m
35,r
58,r
31,r
59,m
34,r
34,m
41,r
26,r
40,m
60,r
11,r
41,m
17,r
43,m
16,m
3,r
12,r
41,r
18,m
56,r
42,r
11,r
39,m
7,r
50,m
57,m
26,m
56,m
24,m
57,r
56,r
29,m
22,r
36,r
58,m
23,m
34,r
33,r
44,m
61,r
39,r
23,r
61,r
11,m
6,m
10,r
56,m
40,r
50,r
28,r
37,m
46,m
29,m
4,r
25,r
52,m
18,m
24,m
12,r
6,m
25,m
12,m
32,m
53,r
56,m
3,r
60,m
46,r
56,m
38,r
49,m
30,m
2,r
27,r
55,r
3,m
2,m
47,m
2,r
54,m
60,m
4,r
46,r
0,r
0,r
58,r
9,r
54,m
1,m
60,m
8,m
24,m
