16
32
500
24,m
22,m
20,m
13,m
26,r
19,r
23,m
13,m
5,m
30,m
25,r
22,m
2,m
21,m
12,r
9,m
30,m
16,r
25,r
23,r
24,r
0,r
21,m
17,m
23,m
4,m
25,r
12,r
12,m
25,m
21,m
7,r
20,r
3,m
9,r
31,r
0,r
25,r
16,r
1,r
12,r
19,r
0,r
14,r
11,r
6,r
14,m
17,m
27,r
30,m
3,m
22,r
1,r
22,r
27,m
17,m
11,m
24,m
8,m
29,r
1,m
17,r
30,m
15,m
29,m
1,m
18,r
2,m
1,r
22,r
24,m
27,m
11,m
2,m
9,m
26,m
10,m
20,r
2,m
30,r
7,m
22,r
23,m
4,m
8,m
30,r
16,r
18,m
7,m
23,r
18,r
27,r
10,r
0,r
22,r
31,m
29,r
22,r
1,r
22,r
1,r
17,m
25,r
22,m
11,r
6,r
0,r
13,r
7,m
1,m
25,m
9,r
22,m
10,r
16,r
3,m
17,r
0,r
7,r
0,r
4,m
26,r
17,m
10,r
26,m
8,m
3,r
30,m
28,r
15,m
4,r
15,m
3,r
17,m
24,r
1,m
16,r
26,m
21,m
3,m
17,m
20,m
11,m
7,r
21,m
3,m
20,m
17,r
26,r
16,m
17,m
13,m
23,m
7,r
23,m
9,r
14,m
5,r
21,m
5,r
31,m
11,r
13,m
3,m
18,r
2,r
23,r
17,m
0,m
14,m
19,r
5,r
31,r
0,m
9,r
3,r
31,m
11,r
27,r
17,m
31,r
2,r
22,r
20,r
30,m
26,r
1,m
3,r
23,m
26,r
23,r
24,r
19,m
6,r
15,m
27,r
13,m
7,r
28,m
19,r
23,r
8,r
19,m
14,r
12,m
0,m
0,m
20,m
11,m
31,m
17,r
24,r
16,m
28,r
24,r
20,m
14,m
8,m
7,m
21,r
8,m
26,r
17,m
22,m
30,r
13,r
28,r
24,m
11,r
28,r
19,r
12,m
6,r
22,r
6,r
21,m
14,m
2,m
2,r
31,m
21,r
8,r
1,r
19,m
5,r
26,m
13,r
26,r
22,m
10,m
17,r
28,m
8,m
12,m
17,m
18,r
21,r
9,r
30,m
16,r
4,m
7,m
9,r
27,m
1,m
17,m
0,r
25,m
2,r
30,r
13,m
26,m
2,r
23,r
13,r
27,r
1,r
23,m
25,r
20,m
24,m
0,r
0,r
11,m
4,m
11,m
20,m
9,r
2,r
24,r
5,r
23,r
29,r
11,m
15,m
27,m
26,r
25,m
17,m
16,r
8,r
29,m
28,r
13,r
4,m
2,r
23,r
13,m
1,m
23,r
22,m
24,r
2,r
23,r
14,m
5,r
12,m
3,m
0,r
20,m
12,m
22,r
21,r
17,m
7,m
1,r
14,r
3,m
22,m
31,r
27,r
30,r
25,r
6,m
7,r
8,m
19,r
1,m
11,r
18,r
4,m
15,r
17,m
22,m
12,m
7,r
26,r
15,m
18,m
6,r
0,m
19,m
2,r
26,r
19,m
9,m
18,m
7,m
9,m
3,m
7,m
24,r
10,r
11,r
19,r
23,m
22,m
30,m
28,m
23,r
29,r
21,r
13,r
0,r
14,m
19,m
23,m
31,r
0,m
14,r
20,m
16,r
22,r
15,m
20,m
28,r
23,m
3,m
13,r
20,r
21,m
6,r
12,m
27,r
15,m
7,m
26,r
28,m
5,r
5,m
2,m
8,r
13,m
14,r
1,m
14,m
27,m
16,m
13,m
1,m
7,r
7,m
15,r
30,m
11,m
31,m
4,m
18,r
28,r
3,r
22,r
22,r
1,m
27,r
11,m
8,m
0,r
10,m
16,r
5,m
26,m
6,r
7,r
18,r
31,r
13,m
18,m
30,r
25,m
25,r
19,r
25,m
28,r
18,r
14,r
8,r
0,m
4,r
14,r
27,r
24,r
17,r
11,r
29,m
7,m
30,m
12,m
1,m
19,m
21,m
14,r
13,m
19,r
19,r
16,m
30,m
6,m
5,m
12,m
25,m
18,r
23,m
12,m
26,r
6,m
8,r
12,m
30,m
30,r
7,r
26,r
25,m
21,m
28,m
25,r
18,r
7,m
18,r
20,r
13,r
31,r
3,r
5,r
22,m
16,r
12,r
14,r
5,r
24,r
7,m
